ZipCode,Time,Value
60660,2013-08-01,432700.0
60608,2013-08-01,169900.0
60657,2013-09-01,856700.0
60614,2013-09-01,1123700.0
60640,2013-09-01,591700.0
60647,2013-09-01,332100.0
60618,2013-09-01,357800.0
60613,2013-09-01,819600.0
60629,2013-09-01,119500.0
60625,2013-09-01,368200.0
60619,2013-09-01,99900.0
60610,2013-09-01,930000.0
60620,2013-09-01,103200.0
60634,2013-09-01,199400.0
60626,2013-09-01,329600.0
60649,2013-09-01,151100.0
60616,2013-09-01,324200.0
60622,2013-09-01,582600.0
60615,2013-09-01,408000.0
60641,2013-09-01,210900.0
60660,2013-09-01,426400.0
60608,2013-09-01,170100.0
60657,2013-10-01,856600.0
60614,2013-10-01,1135100.0
60640,2013-10-01,591800.0
60647,2013-10-01,330400.0
60618,2013-10-01,359900.0
60613,2013-10-01,817000.0
60629,2013-10-01,119500.0
60625,2013-10-01,371800.0
60619,2013-10-01,98100.0
60610,2013-10-01,931900.0
60620,2013-10-01,99600.0
60634,2013-10-01,203600.0
60626,2013-10-01,329500.0
60649,2013-10-01,151400.0
60616,2013-10-01,325700.0
60622,2013-10-01,585300.0
60615,2013-10-01,413900.0
60641,2013-10-01,213700.0
60660,2013-10-01,419800.0
60608,2013-10-01,170200.0
60657,2013-11-01,854400.0
60614,2013-11-01,1141000.0
60640,2013-11-01,589500.0
60647,2013-11-01,329000.0
60618,2013-11-01,362900.0
60613,2013-11-01,816100.0
60629,2013-11-01,119000.0
60625,2013-11-01,374000.0
60619,2013-11-01,98000.0
60610,2013-11-01,933700.0
60620,2013-11-01,95700.0
60634,2013-11-01,206000.0
60626,2013-11-01,329200.0
60649,2013-11-01,151500.0
60616,2013-11-01,326700.0
60622,2013-11-01,587800.0
60615,2013-11-01,416800.0
60641,2013-11-01,214300.0
60660,2013-11-01,413000.0
60608,2013-11-01,170900.0
60657,2013-12-01,853000.0
60614,2013-12-01,1143900.0
60640,2013-12-01,587200.0
60647,2013-12-01,326700.0
60618,2013-12-01,366000.0
60613,2013-12-01,814900.0
60629,2013-12-01,118200.0
60625,2013-12-01,375300.0
60619,2013-12-01,98800.0
60610,2013-12-01,935400.0
60620,2013-12-01,94400.0
60634,2013-12-01,207400.0
60626,2013-12-01,331700.0
60649,2013-12-01,151800.0
60616,2013-12-01,326500.0
60622,2013-12-01,589400.0
60615,2013-12-01,415400.0
60641,2013-12-01,214800.0
60660,2013-12-01,410900.0
60608,2013-12-01,171600.0
60657,2014-01-01,856200.0
60614,2014-01-01,1145800.0
60640,2014-01-01,587300.0
60647,2014-01-01,324800.0
60618,2014-01-01,368400.0
60613,2014-01-01,814200.0
60629,2014-01-01,117600.0
60625,2014-01-01,376300.0
60619,2014-01-01,100600.0
60610,2014-01-01,935400.0
60620,2014-01-01,95000.0
60634,2014-01-01,209000.0
60626,2014-01-01,336100.0
60649,2014-01-01,152300.0
60616,2014-01-01,325600.0
60622,2014-01-01,592900.0
60615,2014-01-01,413700.0
60641,2014-01-01,216500.0
60660,2014-01-01,414100.0
60608,2014-01-01,171400.0
60657,2014-02-01,859700.0
60614,2014-02-01,1147500.0
60640,2014-02-01,588500.0
60647,2014-02-01,324300.0
60618,2014-02-01,368500.0
60613,2014-02-01,814600.0
60629,2014-02-01,117700.0
60625,2014-02-01,377300.0
60619,2014-02-01,103000.0
60610,2014-02-01,934300.0
60620,2014-02-01,94900.0
60634,2014-02-01,210500.0
60626,2014-02-01,339900.0
60649,2014-02-01,153200.0
60616,2014-02-01,324900.0
60622,2014-02-01,597200.0
60615,2014-02-01,412600.0
60641,2014-02-01,218300.0
60660,2014-02-01,418400.0
60608,2014-02-01,171000.0
60657,2014-03-01,863900.0
60614,2014-03-01,1149900.0
60640,2014-03-01,589700.0
60647,2014-03-01,325600.0
60618,2014-03-01,367200.0
60613,2014-03-01,816100.0
60629,2014-03-01,118500.0
60625,2014-03-01,378300.0
60619,2014-03-01,106400.0
60610,2014-03-01,932600.0
60620,2014-03-01,95200.0
60634,2014-03-01,211800.0
60626,2014-03-01,344100.0
60649,2014-03-01,152600.0
60616,2014-03-01,324200.0
60622,2014-03-01,601400.0
60615,2014-03-01,412300.0
60641,2014-03-01,219300.0
60660,2014-03-01,420800.0
60608,2014-03-01,171300.0
60657,2014-04-01,872900.0
60614,2014-04-01,1155200.0
60640,2014-04-01,593300.0
60647,2014-04-01,328000.0
60618,2014-04-01,367900.0
60613,2014-04-01,824200.0
60629,2014-04-01,119500.0
60625,2014-04-01,380200.0
60619,2014-04-01,109000.0
60610,2014-04-01,927700.0
60620,2014-04-01,96100.0
60634,2014-04-01,213500.0
60626,2014-04-01,348300.0
60649,2014-04-01,150100.0
